library,feature,read_p50_wall_ms,read_p95_wall_ms,read_op_count,read_op_unit,read_p50_units_per_sec,write_p50_wall_ms,write_p95_wall_ms,write_op_count,write_op_unit,write_p50_units_per_sec
tablib,cell_values_10k_bulk_read,22.564459,22.705125,10000,cells,443174.81753052445,,,,,
openpyxl,cell_values_10k_bulk_write,,,,,,28.237,29.370792,10000,cells,354145.270389914
xlsxwriter,cell_values_10k_bulk_write,,,,,,18.763333,18.854375,10000,cells,532954.3530459114
python-calamine,cell_values_10k_bulk_write,,,,,,,,,,
pylightxl,cell_values_10k_bulk_write,,,,,,,,,,
xlrd,cell_values_10k_bulk_write,,,,,,,,,,
pyexcel,cell_values_10k_bulk_write,,,,,,,,,,
xlwt,cell_values_10k_bulk_write,,,,,,,,,,
pandas,cell_values_10k_bulk_write,,,,,,39.976,40.662667,10000,cells,250150.09005403242
xlsxwriter-constmem,cell_values_10k_bulk_write,,,,,,2.130417,2.182375,10000,cells,4693916.730855978
openpyxl-readonly,cell_values_10k_bulk_write,,,,,,,,,,
polars,cell_values_10k_bulk_write,,,,,,,,,,
tablib,cell_values_10k_bulk_write,,,,,,36.537083,37.223666,10000,cells,273694.536589032
openpyxl,cell_values_1k,4.835375,4.85675,1000,cells,206809.19266861412,4.919917,5.0295,1000,cells,203255.46142343458
xlsxwriter,cell_values_1k,,,,,,4.427042,4.633625,1000,cells,225884.46190481138
python-calamine,cell_values_1k,395.165375,395.312333,1000,cells,2530.586086900959,,,,,
pylightxl,cell_values_1k,,,,,,3.480833,3.503708,1000,cells,287287.55444458267
xlrd,cell_values_1k,,,,,,,,,,
pyexcel,cell_values_1k,8.493291,8.65375,1000,cells,117739.9903052892,4.419542,4.455708,1000,cells,226267.78973929878
xlwt,cell_values_1k,,,,,,2.187334,2.187667,1000,cells,457177.5503878237
pandas,cell_values_1k,10.428458,10.476208,1000,cells,95891.45394266344,6.381958,6.526792,1000,cells,156691.72376251928
xlsxwriter-constmem,cell_values_1k,,,,,,4.799791,4.909208,1000,cells,208342.40490888042
openpyxl-readonly,cell_values_1k,1459.52175,1465.387084,1000,cells,685.1559423489235,,,,,
polars,cell_values_1k,2.78725,2.813542,1000,cells,358776.5718898556,,,,,
tablib,cell_values_1k,4.410958,4.422083,1000,cells,226708.12100228568,5.758542,5.779833,1000,cells,173655.06755008473
openpyxl,cell_values_1k_bulk_read,3.678958,3.705666,1000,cells,271816.09575319965,,,,,
xlsxwriter,cell_values_1k_bulk_read,,,,,,,,,,
python-calamine,cell_values_1k_bulk_read,,,,,,,,,,
pylightxl,cell_values_1k_bulk_read,,,,,,,,,,
xlrd,cell_values_1k_bulk_read,,,,,,,,,,
pyexcel,cell_values_1k_bulk_read,,,,,,,,,,
xlwt,cell_values_1k_bulk_read,,,,,,,,,,
pandas,cell_values_1k_bulk_read,4.172542,4.657208,1000,cells,239662.05732620545,,,,,
xlsxwriter-constmem,cell_values_1k_bulk_read,,,,,,,,,,
openpyxl-readonly,cell_values_1k_bulk_read,3.783041,3.9315,1000,cells,264337.6056458283,,,,,
polars,cell_values_1k_bulk_read,1.432084,1.466459,1000,cells,698283.061608118,,,,,
tablib,cell_values_1k_bulk_read,3.584375,3.918208,1000,cells,278988.66608544026,,,,,
openpyxl,cell_values_1k_bulk_write,,,,,,4.036833,4.043083,1000,cells,247718.94205185107
xlsxwriter,cell_values_1k_bulk_write,,,,,,3.781791,3.874667,1000,cells,264424.97747760254
python-calamine,cell_values_1k_bulk_write,,,,,,,,,,
pylightxl,cell_values_1k_bulk_write,,,,,,,,,,
xlrd,cell_values_1k_bulk_write,,,,,,,,,,
pyexcel,cell_values_1k_bulk_write,,,,,,,,,,
xlwt,cell_values_1k_bulk_write,,,,,,,,,,
pandas,cell_values_1k_bulk_write,,,,,,5.377375,5.431125,1000,cells,185964.34133754854
xlsxwriter-constmem,cell_values_1k_bulk_write,,,,,,2.012625,2.131417,1000,cells,496863.5488478977
openpyxl-readonly,cell_values_1k_bulk_write,,,,,,,,,,
polars,cell_values_1k_bulk_write,,,,,,,,,,
tablib,cell_values_1k_bulk_write,,,,,,4.718041,4.760791,1000,cells,211952.37599673253
openpyxl,formulas_10k,43.744083,43.811584,10000,cells,228602.3460590087,39.280334,39.678959,10000,cells,254580.32001459048
xlsxwriter,formulas_10k,,,,,,81.686833,96.879917,10000,cells,122418.75015524229
python-calamine,formulas_10k,38940.35875,38955.784959,10000,cells,256.8029756531198,,,,,
pylightxl,formulas_10k,,,,,,30.784166,30.821167,10000,cells,324842.3231605495
xlrd,formulas_10k,,,,,,,,,,
pyexcel,formulas_10k,47.070167,47.0985,10000,cells,212448.78948485566,32.382584,32.617458,10000,cells,308807.9691231558
xlwt,formulas_10k,,,,,,177.363792,189.997292,10000,cells,56381.293426563636
pandas,formulas_10k,33.440833,33.749833,10000,cells,299035.61313798616,52.139542,70.713042,10000,cells,191793.01574992738
xlsxwriter-constmem,formulas_10k,,,,,,85.7935,96.731083,10000,cells,116558.94677335696
openpyxl-readonly,formulas_10k,,,,,,,,,,
polars,formulas_10k,,,,,,,,,,
tablib,formulas_10k,,,,,,48.916041,61.825583,10000,cells,204431.9163114611
openpyxl,formulas_1k,5.3555,5.377875,1000,cells,186723.92867145923,5.598417,5.742542,1000,cells,178621.92116092815
xlsxwriter,formulas_1k,,,,,,9.975375,10.00625,1000,cells,100246.85788754809
python-calamine,formulas_1k,410.698834,411.295292,1000,cells,2434.874212474633,,,,,
pylightxl,formulas_1k,,,,,,3.183916,3.204292,1000,cells,314078.63775300607
xlrd,formulas_1k,,,,,,,,,,
pyexcel,formulas_1k,5.533542,5.621208,1000,cells,180716.07661060494,4.399833,4.65,1000,cells,227281.3536331947
xlwt,formulas_1k,,,,,,15.060833,15.199166,1000,cells,66397.38983892856
pandas,formulas_1k,4.669583,4.727459,1000,cells,214151.88465436848,6.894417,7.202917,1000,cells,145044.89647202948
xlsxwriter-constmem,formulas_1k,,,,,,9.977042,10.152459,1000,cells,100230.10828259517
openpyxl-readonly,formulas_1k,1739.552458,1740.883833,1000,cells,574.860502424699,,,,,
polars,formulas_1k,2.491375,2.532375,1000,cells,401384.777482314,,,,,
tablib,formulas_1k,4.611208,4.865708,1000,cells,216862.9131455358,5.772667,5.795584,1000,cells,173230.15514319463
openpyxl,background_colors_1k,10.620584,10.646208,1000,cells,94156.78083239114,20.845125,20.965084,1000,cells,47972.84736838949
xlsxwriter,background_colors_1k,,,,,,12.500084,12.993833,1000,cells,79999.46240361265
python-calamine,background_colors_1k,0.2845,0.288375,1000,cells,3514938.4885764504,,,,,
pylightxl,background_colors_1k,,,,,,3.71425,3.803292,1000,cells,269233.35801305785
xlrd,background_colors_1k,,,,,,,,,,
pyexcel,background_colors_1k,7.327375,7.36475,1000,cells,136474.52191269043,5.554875,5.647542,1000,cells,180022.05270145592
xlwt,background_colors_1k,,,,,,9.328791,9.736416,1000,cells,107195.02666529885
pandas,background_colors_1k,7.3565,7.440458,1000,cells,135934.2078434038,7.655875,7.7835,1000,cells,130618.64254575735
xlsxwriter-constmem,background_colors_1k,,,,,,13.47425,13.533958,1000,cells,74215.63352320167
openpyxl-readonly,background_colors_1k,1.597,1.637958,1000,cells,626174.0763932373,,,,,
polars,background_colors_1k,1.299208,1.311209,1000,cells,769699.6939674017,,,,,
tablib,background_colors_1k,6.867125,6.959833,1000,cells,145621.34808962996,6.642084,7.033417,1000,cells,150555.1570862398
openpyxl,number_formats_1k,8.234,8.503792,1000,cells,121447.65606023803,7.70525,7.807333,1000,cells,129781.6423866844
xlsxwriter,number_formats_1k,,,,,,11.459667,11.46175,1000,cells,87262.57054415281
python-calamine,number_formats_1k,0.297708,0.298416,1000,cells,3358996.0632566144,,,,,
pylightxl,number_formats_1k,,,,,,3.668417,3.837959,1000,cells,272597.14476298634
xlrd,number_formats_1k,,,,,,,,,,
pyexcel,number_formats_1k,4.78775,4.919834,1000,cells,208866.37773484414,4.540333,4.592292,1000,cells,220248.1624145189
xlwt,number_formats_1k,,,,,,8.1375,8.38325,1000,cells,122887.8648233487
pandas,number_formats_1k,4.632084,4.843041,1000,cells,215885.54957120813,6.556334,6.626958,1000,cells,152524.26127161918
xlsxwriter-constmem,number_formats_1k,,,,,,11.728708,11.973333,1000,cells,85260.88295488301
openpyxl-readonly,number_formats_1k,1.755709,1.835208,1000,cells,569570.4698215935,,,,,
polars,number_formats_1k,1.4875,1.510917,1000,cells,672268.9075630251,,,,,
tablib,number_formats_1k,4.183042,4.452917,1000,cells,239060.4732154255,6.242667,6.631792,1000,cells,160187.94531247622
openpyxl,alignment_1k,11.176791,11.221875,1000,cells,89471.11921480861,17.623875,18.149958,1000,cells,56741.210431871536
xlsxwriter,alignment_1k,,,,,,11.817292,11.912125,1000,cells,84621.75598267352
python-calamine,alignment_1k,0.325167,0.325167,1000,cells,3075342.8238412878,,,,,
pylightxl,alignment_1k,,,,,,3.690375,3.723833,1000,cells,270975.1718998747
xlrd,alignment_1k,,,,,,,,,,
pyexcel,alignment_1k,7.54425,7.649709,1000,cells,132551.2807767505,5.836833,5.878542,1000,cells,171325.785747168
xlwt,alignment_1k,,,,,,8.486792,8.561667,1000,cells,117830.15301894992
pandas,alignment_1k,7.556291,7.722792,1000,cells,132340.05942862708,8.133791,8.2625,1000,cells,122943.90155832624
xlsxwriter-constmem,alignment_1k,,,,,,13.374958,13.670375,1000,cells,74766.58992125433
openpyxl-readonly,alignment_1k,1.522958,1.545709,1000,cells,656616.9257458183,,,,,
polars,alignment_1k,1.31175,1.325417,1000,cells,762340.3849818944,,,,,
tablib,alignment_1k,6.578458,6.720334,1000,cells,152011.30720907543,6.599292,6.861209,1000,cells,151531.40670241596
openpyxl,borders_200,2.925,2.925375,200,cells,68376.06837606838,11.284083,11.495417,200,cells,17724.08090227624
xlsxwriter,borders_200,,,,,,5.023834,5.904958,200,cells,39810.23258332182
python-calamine,borders_200,0.100167,0.102416,200,cells,1996665.5685006038,,,,,
pylightxl,borders_200,,,,,,0.950334,0.994792,200,cells,210452.3251825148
xlrd,borders_200,,,,,,,,,,
pyexcel,borders_200,2.296042,2.313083,200,cells,87106.42052715064,2.103542,2.17775,200,cells,95077.73079881458
xlwt,borders_200,,,,,,2.223292,2.25575,200,cells,89956.69484710062
pandas,borders_200,2.695041,2.70075,200,cells,74210.37379394229,2.777041,2.807375,200,cells,72019.10234670644
xlsxwriter-constmem,borders_200,,,,,,4.971542,5.331708,200,cells,40228.96718965665
openpyxl-readonly,borders_200,1.185,1.289792,200,cells,168776.37130801688,,,,,
polars,borders_200,0.543917,0.588791,200,cells,367703.1605925169,,,,,
tablib,borders_200,2.337292,2.913917,200,cells,85569.1116043695,2.2755,2.343417,200,cells,87892.77081960009
