library,feature,read_p50_wall_ms,read_p95_wall_ms,read_op_count,read_op_unit,read_p50_units_per_sec,write_p50_wall_ms,write_p95_wall_ms,write_op_count,write_op_unit,write_p50_units_per_sec
wolfxl,data_validation,0.161083,0.168375,,,,0.164833,0.171417,,,
pylightxl,data_validation,,,,,,0.265625,0.27375,,,
xlrd,data_validation,,,,,,,,,,
pyexcel,data_validation,1.508792,2.048375,,,,1.605708,2.082875,,,
xlwt,data_validation,,,,,,0.14725,0.212125,,,
pandas,data_validation,2.287042,2.584291,,,,1.867666,3.110417,,,
xlsxwriter-constmem,data_validation,,,,,,1.98925,2.391625,,,
openpyxl-readonly,data_validation,0.973834,1.250834,,,,,,,,
polars,data_validation,0.486333,0.564083,,,,,,,,
tablib,data_validation,1.3705,1.68525,,,,1.417708,1.712875,,,
openpyxl,hyperlinks,1.385542,1.501542,,,,1.502334,1.705584,,,
xlsxwriter,hyperlinks,,,,,,2.195375,2.599792,,,
python-calamine,hyperlinks,0.055417,0.058,,,,,,,,
wolfxl,hyperlinks,0.251417,0.303667,,,,0.184916,0.190333,,,
pylightxl,hyperlinks,,,,,,0.27975,0.353125,,,
xlrd,hyperlinks,,,,,,,,,,
pyexcel,hyperlinks,1.552166,1.953584,,,,1.449958,1.7855,,,
xlwt,hyperlinks,,,,,,0.133458,0.145292,,,
pandas,hyperlinks,1.686458,2.112625,,,,1.53875,2.620708,,,
xlsxwriter-constmem,hyperlinks,,,,,,2.536292,7.951125,,,
openpyxl-readonly,hyperlinks,0.968625,1.1705,,,,,,,,
polars,hyperlinks,0.465083,0.539584,,,,,,,,
tablib,hyperlinks,1.236209,1.494583,,,,1.489667,1.754584,,,
openpyxl,images,1.276125,1.660917,,,,2.02675,2.325875,,,
xlsxwriter,images,,,,,,3.072083,3.596875,,,
python-calamine,images,0.056125,0.058708,,,,,,,,
wolfxl,images,0.46275,0.469625,,,,0.279584,0.297125,,,
pylightxl,images,,,,,,0.265083,0.301166,,,
xlrd,images,,,,,,,,,,
pyexcel,images,1.313125,1.5785,,,,1.375208,1.663709,,,
xlwt,images,,,,,,0.136042,0.152583,,,
pandas,images,1.273834,1.551584,,,,1.433042,1.702833,,,
xlsxwriter-constmem,images,,,,,,1.665333,2.053625,,,
openpyxl-readonly,images,0.827167,0.950458,,,,,,,,
polars,images,0.286916,0.399709,,,,,,,,
tablib,images,0.975208,1.170417,,,,1.343459,1.561542,,,
openpyxl,pivot_tables,0.896875,0.966167,,,,1.285291,1.433958,,,
xlsxwriter,pivot_tables,,,,,,1.71925,1.880958,,,
python-calamine,pivot_tables,0.05875,0.061167,,,,,,,,
wolfxl,pivot_tables,0.060083,0.097625,,,,0.153125,0.162166,,,
pylightxl,pivot_tables,0.856667,0.942958,,,,0.275,0.330042,,,
xlrd,pivot_tables,,,,,,,,,,
pyexcel,pivot_tables,0.966625,1.041625,,,,1.37425,1.688625,,,
xlwt,pivot_tables,,,,,,0.138167,0.145125,,,
pandas,pivot_tables,1.242125,1.598,,,,1.473416,1.6675,,,
xlsxwriter-constmem,pivot_tables,,,,,,1.73425,2.141209,,,
openpyxl-readonly,pivot_tables,0.820083,0.862541,,,,,,,,
polars,pivot_tables,0.245167,0.331375,,,,,,,,
tablib,pivot_tables,0.950291,1.099125,,,,1.257292,1.349459,,,
openpyxl,comments,1.152666,1.244292,,,,1.587709,1.826292,,,
xlsxwriter,comments,,,,,,2.255833,2.760708,,,
python-calamine,comments,0.065708,0.067042,,,,,,,,
wolfxl,comments,0.211875,0.219792,,,,0.200584,0.20875,,,
pylightxl,comments,1.1985,1.266917,,,,0.25925,0.27325,,,
xlrd,comments,,,,,,,,,,
pyexcel,comments,1.281875,1.490666,,,,1.388917,1.635584,,,
xlwt,comments,,,,,,0.133416,0.142375,,,
pandas,comments,1.358709,1.603917,,,,1.612042,2.248792,,,
xlsxwriter-constmem,comments,,,,,,1.806583,2.119375,,,
openpyxl-readonly,comments,0.917583,1.060042,,,,,,,,
polars,comments,0.252333,0.324541,,,,,,,,
tablib,comments,1.063041,1.168667,,,,1.343167,1.606542,,,
openpyxl,freeze_panes,1.4545,1.962166,,,,2.318334,2.810208,,,
xlsxwriter,freeze_panes,,,,,,2.287917,3.006875,,,
python-calamine,freeze_panes,0.058125,0.062667,,,,,,,,
wolfxl,freeze_panes,0.2395,0.258042,,,,0.202,0.228834,,,
pylightxl,freeze_panes,,,,,,0.317542,0.3605,,,
xlrd,freeze_panes,,,,,,,,,,
pyexcel,freeze_panes,1.738916,2.260666,,,,2.486584,3.110333,,,
xlwt,freeze_panes,,,,,,0.191292,0.204167,,,
pandas,freeze_panes,2.0015,2.214458,,,,2.459625,3.569709,,,
xlsxwriter-constmem,freeze_panes,,,,,,2.563292,3.133291,,,
openpyxl-readonly,freeze_panes,1.016209,1.310125,,,,,,,,
polars,freeze_panes,0.508166,0.66825,,,,,,,,
tablib,freeze_panes,1.448583,1.705416,,,,2.58225,2.971458,,,
openpyxl,named_ranges,1.240333,1.676958,,,,1.591,2.120834,,,
xlsxwriter,named_ranges,,,,,,2.010292,2.338459,,,
python-calamine,named_ranges,0.0545,0.058917,,,,,,,,
wolfxl,named_ranges,0.055,0.071458,,,,0.1725,0.182625,,,
pylightxl,named_ranges,,,,,,0.279709,0.305875,,,
xlrd,named_ranges,,,,,,,,,,
pyexcel,named_ranges,1.336875,1.716167,,,,1.77025,2.050584,,,
xlwt,named_ranges,,,,,,0.158708,0.208833,,,
pandas,named_ranges,1.80825,2.241542,,,,1.968167,2.359625,,,
xlsxwriter-constmem,named_ranges,,,,,,2.161,2.658958,,,
openpyxl-readonly,named_ranges,0.886416,0.979667,,,,,,,,
polars,named_ranges,0.433959,0.522,,,,,,,,
tablib,named_ranges,1.270708,1.511209,,,,1.779417,2.05625,,,
openpyxl,tables,1.657125,1.98775,,,,1.426625,1.85125,,,
xlsxwriter,tables,,,,,,1.751333,2.6565,,,
python-calamine,tables,0.058875,0.0615,,,,,,,,
wolfxl,tables,0.057833,0.060791,,,,0.153416,0.159292,,,
pylightxl,tables,,,,,,0.273167,0.527125,,,
xlrd,tables,,,,,,,,,,
pyexcel,tables,2.059917,2.885584,,,,1.67,1.862125,,,
xlwt,tables,,,,,,0.139667,0.150583,,,
pandas,tables,1.962709,2.286875,,,,1.692667,2.374,,,
xlsxwriter-constmem,tables,,,,,,2.030833,2.540125,,,
openpyxl-readonly,tables,0.924625,1.091417,,,,,,,,
polars,tables,0.377166,0.453625,,,,,,,,
tablib,tables,1.412458,1.6365,,,,1.354667,1.60525,,,
