library,feature,read_score,write_score
polars,tables,0,
tablib,tables,0,0
openpyxl,sheet_protection,3,3
xlsxwriter,sheet_protection,,0
python-calamine,sheet_protection,0,
aspose-cells-foss,sheet_protection,3,3
wolfxl,sheet_protection,3,3
pylightxl,sheet_protection,0,0
xlrd,sheet_protection,,
pyexcel,sheet_protection,0,0
xlwt,sheet_protection,,0
pandas,sheet_protection,0,0
xlsxwriter-constmem,sheet_protection,,0
openpyxl-readonly,sheet_protection,0,
polars,sheet_protection,0,
tablib,sheet_protection,0,0
openpyxl,page_setup,3,3
xlsxwriter,page_setup,,0
python-calamine,page_setup,0,
aspose-cells-foss,page_setup,1,0
wolfxl,page_setup,3,2
pylightxl,page_setup,0,0
xlrd,page_setup,,
pyexcel,page_setup,0,0
xlwt,page_setup,,0
pandas,page_setup,0,0
xlsxwriter-constmem,page_setup,,0
openpyxl-readonly,page_setup,0,
polars,page_setup,0,
tablib,page_setup,0,0
openpyxl,chart_anchor,3,3
xlsxwriter,chart_anchor,,0
python-calamine,chart_anchor,0,
aspose-cells-foss,chart_anchor,3,3
wolfxl,chart_anchor,3,3
pylightxl,chart_anchor,0,0
xlrd,chart_anchor,,
pyexcel,chart_anchor,0,0
xlwt,chart_anchor,,0
pandas,chart_anchor,0,0
xlsxwriter-constmem,chart_anchor,,0
openpyxl-readonly,chart_anchor,0,
polars,chart_anchor,0,
tablib,chart_anchor,0,0
